"filename", "language", "TypeScript (Luxcium)", "JavaScript (Luxcium)", "JSON", "comment", "blank", "total"
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/.eslintrc.js", "JavaScript (Luxcium)", 0, 24, 0, 0, 1, 25
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/.prettierrc", "JSON", 0, 0, 7, 0, 1, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/nest-cli.json", "JSON", 0, 0, 9, 0, 1, 10
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/package-lock.json", "JSON", 0, 0, 6611, 0, 1, 6612
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/package.json", "JSON", 0, 0, 94, 0, 1, 95
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flag.controller.ts", "TypeScript (Luxcium)", 29, 0, 0, 0, 7, 36
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flag.module.ts", "TypeScript (Luxcium)", 17, 0, 0, 0, 2, 19
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flag.service.ts", "TypeScript (Luxcium)", 41, 0, 0, 2, 11, 54
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flagutil.service.ts", "TypeScript (Luxcium)", 49, 0, 0, 0, 11, 60
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/app.controller.ts", "TypeScript (Luxcium)", 10, 0, 0, 0, 3, 13
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/app.module.ts", "TypeScript (Luxcium)", 57, 0, 0, 0, 2, 59
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/app.service.ts", "TypeScript (Luxcium)", 7, 0, 0, 0, 2, 9
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/auth.controller.ts", "TypeScript (Luxcium)", 21, 0, 0, 0, 4, 25
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/auth.module.ts", "TypeScript (Luxcium)", 20, 0, 0, 0, 2, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/auth.service.ts", "TypeScript (Luxcium)", 18, 0, 0, 0, 5, 23
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/constants.ts", "TypeScript (Luxcium)", 3, 0, 0, 0, 0, 3
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/curreentUser.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 2, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/currentUser.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 2, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/jwt-auth.guard.ts", "TypeScript (Luxcium)", 5, 0, 0, 0, 1, 6
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/jwt.strategy.ts", "TypeScript (Luxcium)", 20, 0, 0, 0, 2, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/jwtStrategy.ts", "TypeScript (Luxcium)", 20, 0, 0, 0, 3, 23
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/user-teste.decorator.ts", "TypeScript (Luxcium)", 7, 0, 0, 0, 1, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/banco/banco.module.ts", "TypeScript (Luxcium)", 8, 0, 0, 0, 2, 10
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/banco/banco.service.ts", "TypeScript (Luxcium)", 21, 0, 0, 1, 6, 28
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/cliente.controller.ts", "TypeScript (Luxcium)", 19, 0, 0, 1, 6, 26
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/cliente.module.ts", "TypeScript (Luxcium)", 16, 0, 0, 0, 2, 18
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/cliente.service.ts", "TypeScript (Luxcium)", 110, 0, 0, 3, 22, 135
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/models/knexCache.ts", "TypeScript (Luxcium)", 31, 0, 0, 17, 6, 54
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/common/cripto.ts", "TypeScript (Luxcium)", 437, 0, 0, 0, 18, 455
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/config/configuracao.ts", "TypeScript (Luxcium)", 38, 0, 0, 0, 0, 38
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.controller.ts", "TypeScript (Luxcium)", 11, 0, 0, 0, 5, 16
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.dto.ts", "TypeScript (Luxcium)", 20, 0, 0, 0, 2, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.module.ts", "TypeScript (Luxcium)", 13, 0, 0, 0, 2, 15
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.service.ts", "TypeScript (Luxcium)", 208, 0, 0, 6, 42, 256
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/registroTdo.ts", "TypeScript (Luxcium)", 3, 0, 0, 0, 0, 3
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cotacao/cotacao.controller.ts", "TypeScript (Luxcium)", 116, 0, 0, 6, 21, 143
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cotacao/cotacao.module.ts", "TypeScript (Luxcium)", 13, 0, 0, 0, 2, 15
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cotacao/cotacao.service.ts", "TypeScript (Luxcium)", 306, 0, 0, 30, 54, 390
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.controller.ts", "TypeScript (Luxcium)", 23, 0, 0, 0, 4, 27
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.dto.ts", "TypeScript (Luxcium)", 4, 0, 0, 0, 1, 5
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.module.ts", "TypeScript (Luxcium)", 9, 0, 0, 0, 2, 11
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.service.ts", "TypeScript (Luxcium)", 50, 0, 0, 0, 9, 59
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/hbcrypt.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 3, 9
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/api-database.service copy.ts", "TypeScript (Luxcium)", 21, 0, 0, 0, 3, 24
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/api-database.service.ts", "TypeScript (Luxcium)", 42, 0, 0, 0, 4, 46
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/database-cotacao.service.ts", "TypeScript (Luxcium)", 42, 0, 0, 0, 2, 44
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/database.module.ts", "TypeScript (Luxcium)", 11, 0, 0, 0, 2, 13
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/fornecedor-database.service.ts", "TypeScript (Luxcium)", 48, 0, 0, 0, 6, 54
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/knexCache.ts", "TypeScript (Luxcium)", 32, 0, 0, 2, 6, 40
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/site-success-database.service.ts", "TypeScript (Luxcium)", 62, 0, 0, 0, 6, 68
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/success-database.service.ts", "TypeScript (Luxcium)", 39, 0, 0, 0, 6, 45
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.controller.ts", "TypeScript (Luxcium)", 17, 0, 0, 0, 8, 25
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.module.ts", "TypeScript (Luxcium)", 16, 0, 0, 0, 3, 19
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.service.ts", "TypeScript (Luxcium)", 40, 0, 0, 0, 8, 48
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.util.service.ts", "TypeScript (Luxcium)", 49, 0, 0, 0, 11, 60
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/erros/erros.ts", "TypeScript (Luxcium)", 5, 0, 0, 0, 0, 5
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/currentFornecedor.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 2, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/fornecedor.controller.ts", "TypeScript (Luxcium)", 35, 0, 0, 0, 6, 41
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/fornecedor.module.ts", "TypeScript (Luxcium)", 14, 0, 0, 0, 2, 16
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/fornecedor.service.ts", "TypeScript (Luxcium)", 17, 0, 0, 0, 5, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/historico-tributos/historico-tributos.controller.ts", "TypeScript (Luxcium)", 19, 0, 0, 0, 3, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/historico-tributos/historico-tributos.module.ts", "TypeScript (Luxcium)", 15, 0, 0, 0, 2, 17
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/historico-tributos/historico-tributos.service.ts", "TypeScript (Luxcium)", 31, 0, 0, 0, 5, 36
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/main.ts", "TypeScript (Luxcium)", 18, 0, 0, 0, 5, 23
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/models/types.ts", "TypeScript (Luxcium)", 87, 0, 0, 0, 4, 91
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/price/price.controller.ts", "TypeScript (Luxcium)", 32, 0, 0, 0, 7, 39
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/price/price.module.ts", "TypeScript (Luxcium)", 16, 0, 0, 0, 3, 19
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/price/price.service.ts", "TypeScript (Luxcium)", 125, 0, 0, 0, 36, 161
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/total/total.controller.ts", "TypeScript (Luxcium)", 18, 0, 0, 0, 5, 23
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/total/total.module.ts", "TypeScript (Luxcium)", 11, 0, 0, 0, 2, 13
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/total/total.service.ts", "TypeScript (Luxcium)", 85, 0, 0, 3, 26, 114
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/user/user.controller.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 3, 9
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/user/user.module.ts", "TypeScript (Luxcium)", 8, 0, 0, 0, 2, 10
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/user/user.service.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 3, 9
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/interfaces/login.tdo.ts", "TypeScript (Luxcium)", 10, 0, 0, 0, 0, 10
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/interfaces/payload.validate.ts", "TypeScript (Luxcium)", 4, 0, 0, 0, 0, 4
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/interfaces/usuario.interface.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 0, 6
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/tdo/user.login.ts", "TypeScript (Luxcium)", 4, 0, 0, 0, 0, 4
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/usuario.controller.ts", "TypeScript (Luxcium)", 12, 0, 0, 0, 4, 16
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/usuario.module.ts", "TypeScript (Luxcium)", 11, 0, 0, 0, 3, 14
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/usuario.service.ts", "TypeScript (Luxcium)", 30, 0, 0, 0, 9, 39
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/usuario/usuarioDTO.ts", "TypeScript (Luxcium)", 6, 0, 0, 0, 0, 6
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/util/util.ts", "TypeScript (Luxcium)", 235, 0, 0, 0, 7, 242
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/test/app.e2e-spec.ts", "TypeScript (Luxcium)", 20, 0, 0, 0, 5, 25
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/test/jest-e2e.json", "JSON", 0, 0, 9, 0, 1, 10
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/tsconfig.build.json", "JSON", 0, 0, 4, 0, 1, 5
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/tsconfig.json", "JSON", 0, 0, 21, 0, 1, 22
"Total", "-", 3109, 24, 6755, 71, 491, 10450